timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701436616540,378,IndexRequest-1,200,OK,BugresistanceUsers 1-28,text,true,,1816,129,104,104,https://bugresistance.com/index.html,378,0,174
1701436616448,470,IndexRequest-1,200,OK,BugresistanceUsers 1-20,text,true,,1816,129,104,104,https://bugresistance.com/index.html,470,0,165
1701436615312,1606,IndexRequest,200,OK,BugresistanceUsers 1-7,text,true,,2154,262,104,104,https://bugresistance.com/index.html,1122,0,738
1701436615312,1122,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-7,text,true,,338,133,104,104,https://www.bugresistance.com/index.html,1122,0,738
1701436616435,483,IndexRequest-1,200,OK,BugresistanceUsers 1-7,text,true,,1816,129,104,104,https://bugresistance.com/index.html,483,0,178
1701436615717,1204,IndexRequest,200,OK,BugresistanceUsers 1-34,text,true,,2154,262,104,104,https://bugresistance.com/index.html,717,0,332
1701436615717,717,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-34,text,true,,338,133,104,104,https://www.bugresistance.com/index.html,717,0,332
1701436616435,486,IndexRequest-1,200,OK,BugresistanceUsers 1-34,text,true,,1816,129,104,104,https://bugresistance.com/index.html,486,0,175
1701436616431,492,IndexRequest,200,OK,BugresistanceUsers 1-76,text,true,,2154,262,105,105,https://bugresistance.com/index.html,263,0,179
1701436616431,264,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-76,text,true,,338,133,105,105,https://www.bugresistance.com/index.html,263,0,179
1701436616697,226,IndexRequest-1,200,OK,BugresistanceUsers 1-76,text,true,,1816,129,105,105,https://bugresistance.com/index.html,226,0,144
1701436616244,723,IndexRequest,200,OK,BugresistanceUsers 1-65,text,true,,2154,262,107,107,https://bugresistance.com/index.html,285,0,169
1701436616244,285,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-65,text,true,,338,133,107,107,https://www.bugresistance.com/index.html,285,0,169
1701436616530,437,IndexRequest-1,200,OK,BugresistanceUsers 1-65,text,true,,1816,129,107,107,https://bugresistance.com/index.html,437,0,177
